Date,,,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
30-Sep-22,21.35,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,869,,5,,0.58%,₹ 21.35,21.35,,₹ 4.27,₹ 0.00,0,0.00%,0,₹ 0.00
1-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,4466,,34,,0.76%,₹ 78.02,,,₹ 2.29,₹ 0.00,0,0.00%,0,₹ 0.00
1-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1014,,6,,0.59%,₹ 26.63,,,₹ 4.44,₹ 0.00,0,0.00%,0,₹ 0.00
2-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2875,,25,,0.87%,₹ 67.04,,,₹ 2.68,₹ 0.00,1,19.08%,5.24,₹ 351.43
2-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2555,,12,,0.47%,₹ 53.69,,,₹ 4.47,₹ 0.00,0,0.00%,0,₹ 0.00
3-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,541,,5,,0.92%,₹ 14.36,,,₹ 2.87,₹ 0.00,0,0.00%,0,₹ 0.00
3-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1039,,4,,0.39%,₹ 19.46,,,₹ 4.87,₹ 0.00,0,0.00%,0,₹ 0.00
4-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,657,,4,,0.61%,₹ 7.09,,,₹ 1.77,₹ 0.00,0,0.00%,0,₹ 0.00
4-Oct-22,,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1219,,8,,0.66%,₹ 40.58,,,₹ 5.07,₹ 0.00,0,0.00%,0,₹ 0.00
5-Oct-22,,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,469,,1,,0.21%,₹ 2.71,,,₹ 2.71,₹ 0.00,0,0.00%,0,₹ 0.00
