Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
"Nov 21, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,10746,,135,,1.2560%,₹ 292.43,,₹ 2.17,₹ 0.00,13,5.8740%,17.02,"₹ 4,978.10"
"Nov 22, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,19486,,59,,0.3030%,₹ 208.01,,₹ 3.53,₹ 0.00,0,0.0000%,0.0,₹ 0.00
"Nov 22, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,15141,,194,,1.2810%,₹ 424.46,,₹ 2.19,₹ 0.00,16,6.5900%,15.17,"₹ 6,440.95"
"Nov 23, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,26269,,58,,0.2210%,₹ 200.25,,₹ 3.45,₹ 0.00,1,52.6970%,1.9,₹ 380.00
"Nov 23, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,10824,,139,,1.2840%,₹ 304.08,,₹ 2.19,₹ 0.00,4,19.9550%,5.01,"₹ 1,523.81"
"Nov 24, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,21401,,55,,0.2570%,₹ 204.13,,₹ 3.71,₹ 0.00,2,30.2310%,3.31,₹ 675.24
"Nov 24, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,12658,,162,,1.2800%,₹ 355.94,,₹ 2.20,₹ 0.00,14,6.7490%,14.82,"₹ 5,274.28"
"Nov 25, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,17412,,41,,0.2350%,₹ 156.23,,₹ 3.81,₹ 0.00,1,41.1130%,2.43,₹ 380.00
"Nov 25, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,14026,,172,,1.2260%,₹ 366.95,,₹ 2.13,₹ 0.00,14,6.9220%,14.45,"₹ 5,300.95"
"Nov 26, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,13059,,58,,0.4440%,₹ 213.15,,₹ 3.67,₹ 0.00,2,28.0460%,3.57,₹ 760.00
"Nov 26, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,13971,,164,,1.1740%,₹ 357.24,,₹ 2.18,₹ 0.00,12,7.9000%,12.66,"₹ 4,521.90"
"Nov 27, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,20236,,60,,0.2970%,₹ 218.11,,₹ 3.64,₹ 0.00,2,28.6990%,3.48,₹ 760.00
"Nov 27, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,12712,,193,,1.5180%,₹ 426.83,,₹ 2.21,₹ 0.00,13,8.6740%,11.53,"₹ 4,920.95"
"Nov 28, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,14164,,64,,0.4520%,₹ 226.51,,₹ 3.54,₹ 0.00,1,59.6080%,1.68,₹ 380.00
"Nov 28, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,10311,,160,,1.5520%,₹ 348.11,,₹ 2.18,₹ 0.00,9,10.1790%,9.82,"₹ 3,420.00"
"Nov 29, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,15692,,56,,0.3570%,₹ 196.80,,₹ 3.51,₹ 0.00,3,17.2630%,5.79,"₹ 1,140.00"
"Nov 29, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,14224,,179,,1.2580%,₹ 384.14,,₹ 2.15,₹ 0.00,8,12.6360%,7.91,"₹ 3,040.00"
"Nov 30, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,13470,,50,,0.3710%,₹ 185.92,,₹ 3.72,₹ 0.00,1,48.9260%,2.04,₹ 380.00
"Nov 30, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,14841,,153,,1.0310%,₹ 320.64,,₹ 2.10,₹ 0.00,9,9.4280%,10.61,"₹ 3,400.95"
